number,datetime,bert_model,hugging_face,max_len,epochs,batch_size,            optimizer,learning_rate,warmup,pretraining_model_id,pretraining_model_type,            cost_sensitivity,accuracy,macro_prec,macro_recall,macro_f1,macro_support,            weighted_prec,weighted_recall,weighted_f1,weighted_support,kfold,notes
15,2020-09-28 12:02 CT,SciBERT,BertForSequenceClassification,128,3,32,BertAdam,2e-06,  0.1,8,both,0,0.6615180935569285,0.6514513027759548,0.616822429906542,0.5695036143508049,2266,  0.6604657743842273,0.948134092346616,0.765810227814463,1581,0,100000 steps of verbatim BERT pretraining
16,2020-09-28 12:14 CT,SciBERT,BertForSequenceClassification,128,2,32,BertAdam,2e-06,  0.1,8,both,0,0.6504854368932039,0.6504854368932039,1.0,0.788235294117647,2266,  0.6504854368932039,1.0,0.788235294117647,1474,0,100000 steps of verbatim BERT pretraining
17,2020-09-28 13:18 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,2e-06,  0.1,8,both,0,0.6897616946160635,0.5196328213569593,0.6906419729056349,0.5818037746119938,2266,  0.6872607948173681,0.9393028846153846,0.7916823326666749,1664,0,100000 steps of verbatim BERT pretraining
18,2020-09-28 13:54 CT,SciBERT,BertForSequenceClassification,128,3,16,BertAdam,2e-06,  0.1,8,both,0,0.6782877316857899,0.4638220042351498,0.5790179065467415,0.5110547057892835,2266,  0.6742399746984155,0.9236778846153846,0.778478724217658,1664,0,100000 steps of verbatim BERT pretraining
19,2020-09-28 14:09 CT,SciBERT,BertForSequenceClassification,128,2,16,BertAdam,2e-06,  0.1,8,both,0,0.6619593998234775,0.6525886433710175,0.6258290112732852,0.5795314717550935,2266,  0.6610029135813064,0.9487666034155597,0.7672586716901133,1581,0,100000 steps of verbatim BERT pretraining
20,2020-09-28 14:27 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,1e-06,  0.1,8,both,0,0.6504854368932039,0.6504854368932039,1.0,0.788235294117647,2266,  0.6504854368932039,1.0,0.788235294117647,1474,0,100000 steps of verbatim BERT pretraining
21,2020-09-28 15:37 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,3e-06,  0.1,8,both,0,0.70432480141218,0.5374308495317821,0.5759941023851292,0.45834250445999913,2266,  0.7326431339741958,0.8807947019867549,0.7844892130389507,1812,0,100000 steps of verbatim BERT pretraining
22,2020-09-28 16:29 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,2e-05,  0.1,8,both,0,0.6959399823477493,0.3825112940295233,0.6078647932686773,0.4238755715252039,2266,  0.7676444060294516,0.8442184154175589,0.7939245358423964,1868,0,100000 steps of verbatim BERT pretraining
23,2020-09-28 16:57 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,3e-05,  0.1,8,both,0,0.6504854368932039,0.6504854368932039,1.0,0.788235294117647,2266,  0.6504854368932039,1.0,0.788235294117647,1474,0,100000 steps of verbatim BERT pretraining
24,2020-09-28 17:41 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,1e-05,  0.1,8,both,0,0.7806707855251545,0.6333491429050421,0.5718285741794789,0.556331219902203,2266,  0.7847012590389013,0.8309065288868013,0.7988665436513134,2129,0,100000 steps of verbatim BERT pretraining
25,2020-09-28 22:09 CT,SciBERT,BertForSequenceClassification,128,4,16,BertAdam,9e-06,  0.1,8,both,0,0.7634598411297441,0.5926949284512684,0.5814172952210412,0.5466924726475562,2266,  0.771854295382291,0.8422590068159689,0.798395809167607,2054,0,100000 steps of verbatim BERT pretraining
26,2020-09-28 22:30 CT,SciBERT,BertForSequenceClassification,128,3,16,BertAdam,2e-05,  0.1,8,both,0,0.6919682259488085,0.4276505656303059,0.6299693072242049,0.4424356830031237,2266,  0.7176543303421614,0.8853754940711462,0.782254785669686,1771,0,100000 steps of verbatim BERT pretraining
27,2020-09-28 22:51 CT,SciBERT,BertForSequenceClassification,128,2,16,BertAdam,2e-05,  0.1,8,both,0,0.677846425419241,0.44572410792016454,0.7147016145078418,0.5329904084597918,2266,  0.7154695845599969,0.9230769230769231,0.8026169637503381,1664,0,100000 steps of verbatim BERT pretraining
28,2020-09-28 23:15 CT,SciBERT,BertForSequenceClassification,128,4,32,BertAdam,2e-05,  0.1,8,both,0,0.7038834951456311,0.41209374728041864,0.4881086549679278,0.40168352523783274,2266,  0.7158697970026868,0.8385909568874869,0.7654879179869464,1902,0,100000 steps of verbatim BERT pretraining
29,2020-09-28 23:25 CT,SciBERT,BertForSequenceClassification,128,3,32,BertAdam,2e-05,  0.1,8,both,0,0.7087378640776699,0.37797736537060134,0.5451093516182283,0.4169587406026492,2266,  0.7147996082656847,0.8588235294117647,0.7746070465777,1870,0,100000 steps of verbatim BERT pretraining
30,2020-09-28 23:31 CT,SciBERT,BertForSequenceClassification,128,2,32,BertAdam,2e-05,  0.1,8,both,0,0.6624007060900264,0.30814624044876077,0.5521092631332905,0.3646693890254912,2266,  0.7157631734295531,0.8803519061583578,0.7815250551681883,1705,0,100000 steps of verbatim BERT pretraining
31,2020-09-29 09:35 CT,BioBERT,BertForSequenceClassification,128,4,32,BertAdam,2e-05,  0.1,8,both,0,0.7864077669902912,0.5884141335304468,0.6342997655685626,0.5820440215274982,2266,  0.8038723261112715,0.8461538461538461,0.8172720977928122,2106,0,100000 steps of verbatim BERT pretraining
32,2020-09-29 09:59 CT,BioBERT,BertForSequenceClassification,128,3,32,BertAdam,2e-05,  0.1,8,both,0,0.7762577228596647,0.594950604686654,0.5531180485961505,0.5101361250028736,2266,  0.7922637733347103,0.8262094880225458,0.7972305510875346,2129,0,100000 steps of verbatim BERT pretraining
33,2020-09-29 10:14 CT,BioBERT,BertForSequenceClassification,128,2,32,BertAdam,2e-05,  0.1,8,both,0,0.6844660194174758,0.39306323276557237,0.6302771193018685,0.4576058322891556,2266,  0.787088668200831,0.8521978021978022,0.8082414392951641,1820,0,100000 steps of verbatim BERT pretraining
34,2020-09-29 10:57 CT,BioBERT,BertForSequenceClassification,128,4,16,BertAdam,2e-05,  0.1,8,both,0,0.7784642541924095,0.533774025922672,0.6271514464752931,0.5677427121600174,2266,  0.8014863038373774,0.8227611940298507,0.8081112894259529,2144,0,100000 steps of verbatim BERT pretraining
35,2020-09-29 11:13 CT,BioBERT,BertForSequenceClassification,128,3,16,BertAdam,2e-05,  0.1,8,both,0,0.7775816416593115,0.5482891375758049,0.5939164888681278,0.5522801271381835,2266,  0.7971119767188545,0.8195348837209302,0.8024626027969994,2150,0,100000 steps of verbatim BERT pretraining
36,2020-09-29 11:27 CT,BioBERT,BertForSequenceClassification,128,2,16,BertAdam,2e-05,  0.1,8,both,0,0.7621359223300971,0.5168162703048994,0.614711758044845,0.5246889121190758,2266,  0.7753822076929295,0.8587767279960219,0.8073253187276537,2011,0,100000 steps of verbatim BERT pretraining
37,2020-09-29 11:41 CT,BioBERT,BertForSequenceClassification,128,4,32,BertAdam,1e-05,  0.1,8,both,0,0.7669902912621359,0.582102293622778,0.5937622161847456,0.53450357336262,2266,  0.7887095314080265,0.8375903614457831,0.8014197110466044,2075,0,100000 steps of verbatim BERT pretraining
38,2020-09-29 12:12 CT,BioBERT,BertForSequenceClassification,128,4,32,BertAdam,3e-05,  0.1,8,both,0,0.7833186231244483,0.5538707091245534,0.5389859638778357,0.5062911677108256,2266,  0.7924582115390596,0.8131012368300504,0.7955134750500512,2183,0,100000 steps of verbatim BERT pretraining
39,2020-09-29 13:14 CT,BioBERT,BertForSequenceClassification,128,4,32,BertAdam,4e-05,  0.1,8,both,0,0.7180052956751986,0.4518077951852817,0.610650702867464,0.49417877469817173,2266,  0.7823025294583213,0.8313745528870721,0.7967487424264367,1957,0,100000 steps of verbatim BERT pretraining
