File	Relation	SNum	Sentence
EBA1415_KYLS_5_SC_ES-05667	O	49	The second risk is if your skin looks unwell or if your skin has patches.
EBA1415_KYLS_5_SC_ES-05667	O	50	It's important to check your skin once in a while, so you can go to the doctor to get a treatment.
EBA1415_KYLS_5_SC_ES-05667	R-5-50	51	The third risk is if you always have severely sunburns.
EBA1415_KYLS_5_SC_ES-05667	R-6-5	52.1	It can cause death depending on how severe it is because the damage won't be replace with the healthy cells which can also cause really bad red skin from being in the sun too long.//
EBA1415_KYLS_5_SC_ES-05667	R-2-5	52.2	It can cause death depending on how severe it is because the damage won't be replace with the healthy cells which can also cause really bad red skin from being in the sun too long.//
EBA1415_LZBA_4_SC_ES-05529	R-2-50	53	Throughout this reading, I have found that the leading cause of skin cancer is too much exposure to sunlight.
EBA1415_LZBA_4_SC_ES-05529	R-2-50	54	In the reading it clearly states that people the receive more sunlight are more likely to acquire skin cancer.
EBA1415_LZBA_4_SC_ES-05529	R-1-2	55	The places that receive the most direct sunlight are between the tropic of cancer and the tropic of capricorn (tropic of cancer 23 degrees N and tropic of capricorn 23 degrees S).
EBA1415_LZBA_4_SC_ES-05529	O	56	This includes the northern third of Australia and the southern part of the United States.
EBA1415_LZBA_4_SC_ES-05529	R-1-2	57	These places receive direct sunlight which is also called uvb radiation.
EBA1415_LZBA_4_SC_ES-05529	R-1-50	58	The plot point graph states that the further from the equator you are the less of a chance you have to get skin cancer.
EBA1415_LZBA_4_SC_ES-05529	O	59	The body is not completely helpless though.
EBA1415_LZBA_4_SC_ES-05529	R-2-6	60	Scientists have found that a regular amount of sunlight exposure to your skin is not super harmful, the body can repair itself with that ypical amount of damage.
EBA1415_LZBA_4_SC_ES-05529	R-11-12	61.1	The skin also has some defense against the uvb rays called melanin.
EBA1415_LZBA_4_SC_ES-05529	R-12-3	61.2	The skin also has some defense against the uvb rays called melanin.
EBA1415_LZBA_4_SC_ES-05529	O	62	Melanin is a special pigment produced by the epeidermis (outside layer of skin).
EBA1415_LZBA_4_SC_ES-05529	R-11-12	63.1	Melanin protects us from solar radiation.
EBA1415_LZBA_4_SC_ES-05529	R-12-3	63.2	Melanin protects us from solar radiation.
EBA1415_LZBA_4_SC_ES-05529	R-11-12	64.1	Melanin decreases our chances of protection from uvb radiation though.
EBA1415_LZBA_4_SC_ES-05529	R-12-3	64.2	Melanin decreases our chances of protection from uvb radiation though.
EBA1415_LZBA_4_SC_ES-05529	R-5-6	65.1	Sunburn is also a cause of skin cancer.
EBA1415_LZBA_4_SC_ES-05529	R-5-50	65.2	Sunburn is also a cause of skin cancer.
EBA1415_LZBA_4_SC_ES-05529	R-5-6	66	This is because the dead skin cells are not removed and replaced with new ones.
EBA1415_LZBA_4_SC_ES-05529	O	67	These are the specific causes of the skin cancer.//
EBA1415_TFHC_1_SC_ES-05939	R-1-50	68	There are many factors that lead to skin cancer.
EBA1415_TFHC_1_SC_ES-05939	R-1-50	69	It depends on where you live, what you are exposed to etc./
EBA1415_TFHC_1_SC_ES-05939	R-1-2	70.1	In the latitude article, it talks about how if people live near the Equarter, they are morel ikely to experience skin cancer because they happen to be exposed to the sun more.
EBA1415_TFHC_1_SC_ES-05939	R-2-50	70.2	In the latitude article, it talks about how if people live near the Equarter, they are morel ikely to experience skin cancer because they happen to be exposed to the sun more.
EBA1415_TFHC_1_SC_ES-05939	O	71	Even if you don't live near the Equator, there is still a chance that you could get it./
EBA1415_TFHC_1_SC_ES-05939	O	72	In the skin protects you article, it talks about how skin cancer is one of the biggest cancers in the U.S..
EBA1415_TFHC_1_SC_ES-05939	O	73	The body is exposed UVb radiation.
EBA1415_TFHC_1_SC_ES-05939	R-3-6	74	Most of the time if the body is exposed to Uvb radiation, it would repair itself however if it is very severe you would have to get the abnormal cells removed.
EBA1415_TFHC_1_SC_ES-05939	R-3-50	75	Uvb radiation is a big factor on the causes of skin cancer.//
EBA1415_TFHC_1_SC_ES-05939	R-5-6	76	In the sunburn article, it talks about how if you have had a sunburn more than once in your childhood, the body would have a harder time with repairing the skin because of how damaged the skin cells already are.
EBA1415_TFHC_1_SC_ES-05939	R-4-5	77	In the text it also states that "the amount of damaged genetic molecules can be used as an indicator of sunburn serverity."
EBA1415_TFHC_1_SC_ES-05939	R-2-5	78	So the severity depends on how badly you were exposd to the sun and on how much you got a sunburn.
EBA1415_TFHC_1_SC_ES-05939	R-6-50	79	If you don't remove the badly infected skin cells, it would most likely lead to cancer./
EBA1415_TFHC_1_SC_ES-05939	O	80	In conclusion, there are many factors that could lead to skin cancer and it all depends on your location and how badly you were exposed to something.//
EBA1415_TTCM_910_SC_ES-06147	O	81	There are numerous skin disorders, conditions, and diseases.
EBA1415_TTCM_910_SC_ES-06147	R-5-50	82	Skin cancer is caused by many different things.
EBA1415_TTCM_910_SC_ES-06147	R-5-50	83	Like a severly bad sunburn, or how//
EBA1415_BGJD_1_SC_ES-05732	R-2-50	84	The sun can damage our skin and cause skin cancer.
EBA1415_BGJD_1_SC_ES-05732	O	85	On many parts of our bodys.
EBA1415_BGJD_1_SC_ES-05732	R-2-5	86.1	It say's on the final page on the first paragraph that your skin can be harmed by the sun and cause sun burn wich damages your skin cells that are not removed can cause skin cancer.//
EBA1415_BGJD_1_SC_ES-05732	R-5-4	86.2	It say's on the final page on the first paragraph that your skin can be harmed by the sun and cause sun burn wich damages your skin cells that are not removed can cause skin cancer.//
EBA1415_BGJD_1_SC_ES-05732	R-4-6	86.3	It say's on the final page on the first paragraph that your skin can be harmed by the sun and cause sun burn wich damages your skin cells that are not removed can cause skin cancer.//
EBA1415_BGJD_1_SC_ES-05732	R-6-50	86.4	It say's on the final page on the first paragraph that your skin can be harmed by the sun and cause sun burn wich damages your skin cells that are not removed can cause skin cancer.//
EBA1415_SERS_13_SC_ES-5113	O	87	Skin cancer is an uncontrolled growth of abnormal skin cells.
EBA1415_SERS_13_SC_ES-5113	O	88	It depends on the types of skin cell that reproduce irregularly.
EBA1415_SERS_13_SC_ES-5113	O	89	Skin is the largest organ and is made of 95% basal cell carcinoma, and squamos cell carcinoma, and the other 5% is malignant melanoma.
EBA1415_SERS_13_SC_ES-5113	O	90	Malignant melanoma is responsible for most skin cancer deaths.
EBA1415_SERS_13_SC_ES-5113	R-2-50	91	You get skin cancer from having direct sunlight.
EBA1415_SERS_13_SC_ES-5113	O	92	People who don't have direct sunlight may be less concerned about dangers.
EBA1415_SERS_13_SC_ES-5113	O	93	There are still some risk.
EBA1415_SERS_13_SC_ES-5113	R-2-3	94	People who have direct sunlight have a lot of UVb radiation.
EBA1415_SERS_13_SC_ES-5113	R-3-4	95.1	With larger amounts of UVb radiation hit you it damage small amounts of generic molecules in skin cells, which can skin cancer.
EBA1415_SERS_13_SC_ES-5113	R-4-50	95.2	With larger amounts of UVb radiation hit you it damage small amounts of generic molecules in skin cells, which can skin cancer.
EBA1415_SERS_13_SC_ES-5113	R-3-50	96	That why people who are closer to high UVb radiation have a higher risk to skin cancer.
EBA1415_SERS_13_SC_ES-5113	R-5-50	97	Sunburn are also a big factor is skin cancer.
EBA1415_SERS_13_SC_ES-5113	R-4-5	98	Sun burn is caused by damage to genetic molecules.
EBA1415_SERS_13_SC_ES-5113	O	99	The body directs blood to skin to try to repair or remove damaged cells.
EBA1415_SERS_13_SC_ES-5113	O	100	The additional blood flow is the reason skin becomes red.//
EBA1415_SEAL_78_SC_ES-04807	O	101	While there are many ways to get skin cancer, some are more common than others.
EBA1415_SEAL_78_SC_ES-04807	R-1-2	102	The first way you could get skin cancer is your location you could have different amounts of direct sunlight.
EBA1415_SEAL_78_SC_ES-04807	R-1-2	103	If your in a place in between the Tropic of cancer and the tropic of capricorn you would have more direct sunlight that people outside the topics.
EBA1415_SEAL_78_SC_ES-04807	R-2-3	104.1	All the direct sunlight produces uvb radiation which is a type of solar radiation which is not good considering your skin can't defend solar radiation that good.
EBA1415_SEAL_78_SC_ES-04807	R-12-3	104.2	All the direct sunlight produces uvb radiation which is a type of solar radiation which is not good considering your skin can't defend solar radiation that good.
EBA1415_SEAL_78_SC_ES-04807	R-5-50	105	Another way you could get skin cancer is from sunburn.
EBA1415_SEAL_78_SC_ES-04807	R-4-5	106	Sunburn is caused by genetic molecules in skin cells to be damaged.
EBA1415_SEAL_78_SC_ES-04807	O	107	Your skin turns red because the body directs blood to the skin in order to remove the damaged cells.
EBA1415_SEAL_78_SC_ES-04807	R-5-6	108.1	The sunburned skin cells that aren't removed can turn into skin cancer.
EBA1415_SEAL_78_SC_ES-04807	R-6-50	108.2	The sunburned skin cells that aren't removed can turn into skin cancer.
EBA1415_SEAL_78_SC_ES-04807	R-5-50	109	If you have just one severe sunburn as a child or adolescent will double your chances to get skin cancer.
EBA1415_SEAL_78_SC_ES-04807	R-2-50	110.1	Other people might say that is impossible for the sun to give you cancer, while the sun is good it can give you cancer because on the graph it shows people with lower number latitude has more skin cancer in the area in which they reside.
EBA1415_SEAL_78_SC_ES-04807	R-1-50	110.2	Other people might say that is impossible for the sun to give you cancer, while the sun is good it can give you cancer because on the graph it shows people with lower number latitude has more skin cancer in the area in which they reside.
EBA1415_SEAL_78_SC_ES-04807	R-2-4	111	In conclusion the son's rays are very harmful to the skin if the skin is exposed to a lot of sun rays.//
EBA1415_TTKP_7_8_SC_ES-04912	O	112	There are various ways a person can develope skin cancer.
EBA1415_TTKP_7_8_SC_ES-04912	O	113	When a person has skin cancer there are many different effects on how the person finds out.
EBA1415_TTKP_7_8_SC_ES-04912	O	114	There are different effects because it depends on how the person developed skin cancer and how fast a person's abnormal skin cells grow.
EBA1415_TTKP_7_8_SC_ES-04912	O	115	Also staying in the sun can increase a person risk at getting skin cancer.
EBA1415_TTKP_7_8_SC_ES-04912	O	116	Everyone has a chance of getting skin cancer but everyone has a different so the risks are different for everyone.//
EBA1415_SWCT_7_SC-04883	O	117	Skin cancer is the most common form of cancer although it is not in the equator.
EBA1415_SWCT_7_SC-04883	R-2-50	118	Skin cancer is the uncontrolled growth of abnormal skin cells.
EBA1415_SWCT_7_SC-04883	R-2-50	119	This is usually caused by a high amount of direct sunlight.
EBA1415_SWCT_7_SC-04883	R-2-3	120.1	In the sunlight, there is UVb radiation that damages the skin cells.
EBA1415_SWCT_7_SC-04883	R-3-4	120.2	In the sunlight, there is UVb radiation that damages the skin cells.
EBA1415_SWCT_7_SC-04883	R-5-6	121	Usually healthy skin cells replace the damaged skin cells. 
EBA1415_SWCT_7_SC-04883	O	122	This is because of a source in our bodies called melanin.
EBA1415_SWCT_7_SC-04883	R-5-6	123	But severe sunburn prevents that from happening.
EBA1415_SWCT_7_SC-04883	O	124	Having more than 5 sunburns in your life puts you at higher risks of getting skin cancer.
EBA1415_SWCT_7_SC-04883	O	125	In some cases such as malignant melanoma, the cancer can be deadly.
EBA1415_SWCT_7_SC-04883	O	126	However it is rare.
EBA1415_SWCT_7_SC-04883	O	127	It only come up 5% of the skin cancer cases.
EBA1415_SWCT_7_SC-04883	O	128	The other 2, basal and squamous cell carcinomas come up 95% of the time.
EBA1415_SWCT_7_SC-04883	O	129	Skin cancer can be stopped.
EBA1415_SWCT_7_SC-04883	O	130	A person can check their skin for weird changes in your skin.
EBA1415_SWCT_7_SC-04883	O	131	After too much sun, your skin will go really red because of the additional blood flow to replace damaged skin cells.
EBA1415_SWCT_7_SC-04883	O	132	If the skin cancer is detected early, there will be treatment for it so that the abnormal skin cells will be destroyed or controlled.//
EBA1415_LZBA_3_SC_ES-05511	R-2-50	133.1	Skin cancer is caused by too much direct sunlight and UV radiation.
EBA1415_LZBA_3_SC_ES-05511	R-3-50	133.2	Skin cancer is caused by too much direct sunlight and UV radiation.
EBA1415_LZBA_3_SC_ES-05511	R-2-50	134	The cancer will be worse if you exposed to more sunlight.
EBA1415_LZBA_3_SC_ES-05511	R-1-2	135	Also, since the amount of sunlight is stronger near the equator, people near the equator are more likely to get exposed to more sunlight, making them more vulnerable.
EBA1415_LZBA_3_SC_ES-05511	R-1-2	136.1	If you are farther away from the equator you will have to worry less about direct sunlight, sunburn, and UV radiation.
EBA1415_LZBA_3_SC_ES-05511	R-1-5	136.2	If you are farther away from the equator you will have to worry less about direct sunlight, sunburn, and UV radiation.
EBA1415_LZBA_3_SC_ES-05511	R-1-3	136.3	If you are farther away from the equator you will have to worry less about direct sunlight, sunburn, and UV radiation.
EBA1415_LZBA_3_SC_ES-05511	R-5-4	137.1	Finally, sunburn can damage skin cells making your skin more vulnerable to sun poisoning or other bad infections.//
EBA1415_LZBA_3_SC_ES-05511	R-4-5	137.2	Finally, sunburn can damage skin cells making your skin more vulnerable to sun poisoning or other bad infections.//
EBA1415_KYLS_5_SC_ES-05668	O	138	Skin cancer is the most common form os cancer in the United States.
EBA1415_KYLS_5_SC_ES-05668	O	139	Skin cancer is the uncontrolled growth of abnormal skin cells.
EBA1415_KYLS_5_SC_ES-05668	O	140	THere are 3 main ones that cause skin cancer.
EBA1415_KYLS_5_SC_ES-05668	O	141	For example:  basal cell carcinoma, squomous cell carcinoma, and malignant melanoma.
EBA1415_KYLS_5_SC_ES-05668	O	142	Humans have demonstrated harmful effects of exposure to uvb radiation.
EBA1415_KYLS_5_SC_ES-05668	O	143	Uvb radiation is a type of solar radiation.
EBA1415_KYLS_5_SC_ES-05668	R-3-4	144	Researchers have found that when the skin is hit with normal amounts of uvb radiation, the rays cause small amounts of damage.
EBA1415_KYLS_5_SC_ES-05668	O	145	However problems arise when there is excessive exposure to uvb radiation.
EBA1415_KYLS_5_SC_ES-05668	R-4-5	146	On the other hand sunburn is caused by damage to genetic molecules in the skin cells.
EBA1415_KYLS_5_SC_ES-05668	R-5-6	147	Sun burn occurs when the body directs blood to skin to try to repair or remove damaged cells.
EBA1415_KYLS_5_SC_ES-05668	R-5-6	148.1	Sunburned skin cells that aren't removed can result in skin cancer.
EBA1415_KYLS_5_SC_ES-05668	R-6-50	148.2	Sunburned skin cells that aren't removed can result in skin cancer.
EBA1415_KYLS_5_SC_ES-05668	R-1-2	149	In addition, depending on location, amount of direct sunlight may vary a lot or a little throughout the year.
EBA1415_KYLS_5_SC_ES-05668	O	150	So people who live closer to the equator need to be more aware of sunlight than others who don't.
EBA1415_KYLS_5_SC_ES-05668	O	151	Overall that's how you can lead risk of developing skin cancer.//
EBA1415_TTCM_910_SC_ES-06146	O	152	Skin is what protects our bodies from internal tissue infection.
EBA1415_TTCM_910_SC_ES-06146	O	153	It covers every spot on our bodies and it is our bodies largest organ.
EBA1415_TTCM_910_SC_ES-06146	O	154	Although you may think that you could never get skin cancer, it is the most common form of cancer in the United States.
EBA1415_TTCM_910_SC_ES-06146	O	155	Skin cancer can depend on the type of cell that is reproducing irregularly.
EBA1415_TTCM_910_SC_ES-06146	O	156	The three main types of skin cancers are Basal Cell Carcinoma, Squamous Cell Carcinoma, and Malignant Melanoma.
EBA1415_TTCM_910_SC_ES-06146	O	157	To prevent yourself from Skin Cancer, you should detect the skin for abnormal spots or dark patches./
EBA1415_TTCM_910_SC_ES-06146	O	158	Our skin protect us from various external forces, it acts as an insulating sheild.
EBA1415_TTCM_910_SC_ES-06146	R-12-3	159	It can also protect the body againist extreme temperatures, chemicals, and damaging radiation.
EBA1415_TTCM_910_SC_ES-06146	O	160	Skin can be in contact with Uvb radiation and be able to fight it off, but when there is an excessive amount of radiation, problems will occur./
EBA1415_TTCM_910_SC_ES-06146	R-5-50	161.1	Sunburn is damage to genetic molecules in skin cells, and it can also cause skin cancer.
EBA1415_TTCM_910_SC_ES-06146	R-4-5	161.2	Sunburn is damage to genetic molecules in skin cells, and it can also cause skin cancer.
EBA1415_TTCM_910_SC_ES-06146	R-6-50	161.3	Sunburn is damage to genetic molecules in skin cells, and it can also cause skin cancer.
EBA1415_TTCM_910_SC_ES-06146	R-6-50	162	This happens when the body directs blood to the skin to try to repair or get rid of damaged cells.
EBA1415_TTCM_910_SC_ES-06146	O	163	If a sunburn is severe enough, it can cause sun poisoning.
EBA1415_TTCM_910_SC_ES-06146	R-5-6	164.1	If sunburned skin cell aren't removed, it can cause cancer.//
EBA1415_TTCM_910_SC_ES-06146	R-6-50	164.2	If sunburned skin cell aren't removed, it can cause cancer.//
EBA1415_RDJKa_5_SC_ES-05474	O	165	The skin on our bodies is our largest organ which helps protect your tissues from getting a disease or to help your body not are water.
EBA1415_RDJKa_5_SC_ES-05474	O	166	Our skin also helps us maintain a good body pressure.
EBA1415_RDJKa_5_SC_ES-05474	O	167	Skin cancer is one of the most feared condition because of the large amount of people that have died from it and the fact that everyone is at the same risk of getting it.
EBA1415_RDJKa_5_SC_ES-05474	O	168	Skin cancer is when there is an uncontrollable growth of abnormal skin cells.
EBA1415_RDJKa_5_SC_ES-05474	R-1-2	169.1	Areas near the equator are more likely for you to get skin cancer due to the direct sunlight.
EBA1415_RDJKa_5_SC_ES-05474	R-2-50	169.2	Areas near the equator are more likely for you to get skin cancer due to the direct sunlight.
EBA1415_RDJKa_5_SC_ES-05474	R-1-50	170	The amount of people getting skin cancer decreases as you move north of the equator.
EBA1415_RDJKa_5_SC_ES-05474	R-6-50	171.1	Another cause of skin cancer is when sunburned cells aren't removed.//
EBA1415_RDJKa_5_SC_ES-05474	R-5-6	171.2	Another cause of skin cancer is when sunburned cells aren't removed.//
EBA1415_TRJA_6_SC_ES-06090	R-4-5	172	Sunburn is caused by damage to genetic molecules in skin cells.
EBA1415_TRJA_6_SC_ES-06090	R-5-6	173	Sunburn happens when the body directs blood to skin to skin to try to repair or removed damaged skin cells.
EBA1415_TRJA_6_SC_ES-06090	O	174	The damage cells are replaced with healthy ones.
EBA1415_TRJA_6_SC_ES-06090	O	175	This additional blood flow is the reason skin becomes red.
EBA1415_TRJA_6_SC_ES-06090	O	176	Sun burns frequently include painul burning sensation.
EBA1415_TRJA_6_SC_ES-06090	O	177	The severity of the sensations depends on the severity of the burn.
EBA1415_TRJA_6_SC_ES-06090	O	178	Severe sunburn a called sun poisened.//
EBA1415_TWJB_7_SC_ES-05060	O	179	There is a lot of different ways you can get skin cance.r
EBA1415_TWJB_7_SC_ES-05060	O	180	Skin cancer is the uncontrolled growth of abnormal skin cells.
EBA1415_TWJB_7_SC_ES-05060	O	181	Skin cancer is among the most feared because everyone is at some risk of developing it.
EBA1415_TWJB_7_SC_ES-05060	O	182	There are 3 main varieties of skin cancer, basal cell carcinoma, squamous cell carcinoma, and malignant melanoma.
EBA1415_TWJB_7_SC_ES-05060	O	183	Basal and squamous make up 95% of skin cancer.
EBA1415_TWJB_7_SC_ES-05060	O	184	Malignant is 5%, but it is responsible for the most deaths in skin cancer.//
EBA1415_TFBM_2_SC_ES-05560	R-4-50	185	Risks of developing skin cancer are many.
EBA1415_TFBM_2_SC_ES-05560	R-4-50	186	One cause is damage to skin cells.
EBA1415_TFBM_2_SC_ES-05560	R-4-6	187	If skin cells are damaged, the body sends blood to repair or remove those damaged cells.
EBA1415_TFBM_2_SC_ES-05560	R-6-50	188	If some cells are not removed, that can cause skin cancer.
EBA1415_TFBM_2_SC_ES-05560	R-1-50	189	Another risk factor is where you are located geographically.
EBA1415_TFBM_2_SC_ES-05560	R-1-2	190	If you are closer to the equator, there will be more direct sunlight on you.
EBA1415_TFBM_2_SC_ES-05560	O	191	Thank you.
EBA1415_TFBM_2_SC_ES-05560	O	192	Oh, you too.
EBA1415_TFBM_2_SC_ES-05560	O	193	Anyway there are many more risk factors, which I will detail below./
EBA1415_TFBM_2_SC_ES-05560	O	194	The pigment of your skin is a factor.
EBA1415_TFBM_2_SC_ES-05560	R-11-12	195.1	The skin produces melanin, which protects your skin from solar radiation.
EBA1415_TFBM_2_SC_ES-05560	R-12-3	195.2	The skin produces melanin, which protects your skin from solar radiation.
EBA1415_TFBM_2_SC_ES-05560	O	196	Different people have different amounts of melanin.
EBA1415_TFBM_2_SC_ES-05560	R-11-12	197	The more melanin you have, the more protected you will be, but you will produce less vitamin D./
EBA1415_TFBM_2_SC_ES-05560	R-1-50	198	Again, your location is a big factor.
EBA1415_TFBM_2_SC_ES-05560	R-1-2	199.1	The clsoer you are to direct sunlight (like Southern USA) the more risk there is of developing sunburn and aquiring some sort of skin cancer.
EBA1415_TFBM_2_SC_ES-05560	R-2-5	199.2	The clsoer you are to direct sunlight (like Southern USA) the more risk there is of developing sunburn and aquiring some sort of skin cancer.
EBA1415_TFBM_2_SC_ES-05560	R-2-50	199.3	The clsoer you are to direct sunlight (like Southern USA) the more risk there is of developing sunburn and aquiring some sort of skin cancer.
EBA1415_TFBM_2_SC_ES-05560	O	200	So, again, don't get skin cancer, please.//
EBA1415_TTCM_9-10_SC_ES-04929	O	201	People closer to the equator to the equator need to be more aware of the dangers of direct sunlight.
