File	Relation	SNum	Sentence
EBA1415_TFMV_3_CB_ES-05848	O	59	Corals get stress from people who damage them, walking on them or dropping anchors on them but the biggest one is change in thier enviorment.
EBA1415_TFMV_3_CB_ES-05848	O	60	They need it to be 70-80 degrees to be able to produce food without help of corals zooxanthellane cant survive and that affects them both.
EBA1415_TFMV_3_CB_ES-05848	O	61	Coral Bleaching affects the coral and zooxanthellane's relationship.
EBA1415_TFMV_3_CB_ES-05848	R-6-50	62.1	If the coral has to much stress it turns white because without nutrients all the zooxanthelane would die off.
EBA1415_TFMV_3_CB_ES-05848	R-7-50	62.2	If the coral has to much stress it turns white because without nutrients all the zooxanthelane would die off.
EBA1415_TFMV_3_CB_ES-05848	O	63	Coral Bleaching makes corals makes corals weak and more prone to disease and starvation.  //
EBA1415_WSKT_6_CB_ES-05341	O	64	Coral bleaching is a phenomenon in which coral loses its color.
EBA1415_WSKT_6_CB_ES-05341	O	65	Coral bleaching turns coral somewhat white.
EBA1415_WSKT_6_CB_ES-05341	R-7-50	66	There are different things such as climate, zooxanthallae that effect the and rates of coral bleaching.
EBA1415_WSKT_6_CB_ES-05341	O	67	They are different due to locations and effects it has on the coral bleaching rate. /
EBA1415_WSKT_6_CB_ES-05341	O	68	The climate such as the temperatures has a tremendous effect on the rates.
EBA1415_WSKT_6_CB_ES-05341	R-3-4	69.1	Changing the water temperature changes the amount of Carbon Dioxide.
EBA1415_WSKT_6_CB_ES-05341	R-4-14	69.2	Changing the water temperature changes the amount of Carbon Dioxide.
EBA1415_WSKT_6_CB_ES-05341	R-4-14	70	This effect threatens the delicate balance required to keep corals healthy.
EBA1415_WSKT_6_CB_ES-05341	O	71	Unhealthy coral can't bleach, decreasing the coral bleaching rate. /
EBA1415_WSKT_6_CB_ES-05341	O	72	Zooxanthallae usually benefits the coral but the effect changes when under bleaching.
EBA1415_WSKT_6_CB_ES-05341	O	73	The zooxanthellae dies making the coral vulnerable to disease and starvation.
EBA1415_WSKT_6_CB_ES-05341	O	74	This could decline the coral bleaching rate tremendously. /
EBA1415_WSKT_6_CB_ES-05341	O	75	Being that coral bleaching occurs underwater the location in the ocean is a big factor in coral bleaching.
EBA1415_WSKT_6_CB_ES-05341	O	76	The winds from trade winds in the Pacific Ocean travels from east to west.
EBA1415_WSKT_6_CB_ES-05341	O	77	Upwelling in the eastern Pacific causes surface waters to be colder than in the western Pacific.
EBA1415_WSKT_6_CB_ES-05341	O	78	Coral bleaching is most noticeable in the Pacific Ocean.
EBA1415_WSKT_6_CB_ES-05341	O	79	Due to it containing more water than the other oceans.
EBA1415_WSKT_6_CB_ES-05341	O	80	The location of coral bleaching increases the rate making the coastal regions most affected by coral bleaching. /
EBA1415_WSKT_6_CB_ES-05341	O	81	Coral bleaching is effected in many ways.
EBA1415_WSKT_6_CB_ES-05341	O	82	They make it so the rate decreases or increases of coral bleaching.
EBA1415_WSKT_6_CB_ES-05341	O	83	The main two differences being the climate, locations, and zooxanthallae.  //
EBA1415_TRWH_8_CB_ES-06081	R-3-50	84	The difference betten the rates of coral bleaching is that as the temperature change so does the rate showing amounts of coral bleaching which is harmful ous as well as them 15 perecent of our coral reef have died due to coral bleaching in temperature change.
EBA1415_TRWH_8_CB_ES-06081	O	85	Which I believe is sad because coral are living things too just like ous so we need to save their lives//
EBA1415_TRWH_1_CB_ES-06067	R-13-50	86	The difference in rates of coral breeding is that corals are sensitive to ocean salinity (salty water)//
EBA1415_TTCM_910_CB_ES-04932	O	87	Corals are getting bleached because of a phenomenon known to turn a white color and they die off.
EBA1415_TTCM_910_CB_ES-04932	O	88	1998 was the worst bleaching of them all with 77%.
EBA1415_TTCM_910_CB_ES-04932	O	89	The most faithful year was 1981 with only 1%.
EBA1415_TTCM_910_CB_ES-04932	R-7-50	90	The reason why the corals are bleached is because they don't have enough "zooxanthalle."
EBA1415_TTCM_910_CB_ES-04932	O	91	Which makes corals have nutrients for photosynthesis.  //
EBA1415_TWJB_7_CB_ES-06223	O	92	Coral bleaching is the most noticeable thing in the ocean.
EBA1415_TWJB_7_CB_ES-06223	R-3-50	93	Coral bleaching is when a coral turns all white.
EBA1415_TWJB_7_CB_ES-06223	R-3-50	94	This can be caused by changing temperatures.
EBA1415_TWJB_7_CB_ES-06223	O	95	Corals are also sensitve to ocean salinity.
EBA1415_TWJB_7_CB_ES-06223	R-13-14	96	Then the ocean salinity decreases in shallow water it upsets the balance necessary for coral help.//
EBA1415_TWJB_7_CB_ES-06223	O	97	Out of time
EBA1415_HNJD_6_CB_ES-05816	O	98	The differences in the rates of coral bleaching is that theres no real determined rate of which the rates are going.
EBA1415_HNJD_6_CB_ES-05816	O	99	It could be high rates of coral bleaching but that would lead to a problem of serious impact on the worlds coral reefs.
EBA1415_HNJD_6_CB_ES-05816	O	100	Coral bleaching is most noticable in the pacific Ocean.
EBA1415_HNJD_6_CB_ES-05816	O	101	The pacific ocean covers about 1/3 of the surface of the entire globe.
EBA1415_HNJD_6_CB_ES-05816	O	102	A coral polyp has a saclike body and a mouth surrounded by stinging tentacles.
EBA1415_HNJD_6_CB_ES-05816	O	103	Coral reefs are only found in clear shallow, tropical waters.
EBA1415_HNJD_6_CB_ES-05816	O	104	Reasoning because of Algae, called zooxanthellae, live in the coral tissues and need light for the process of photosynthesis. //
EBA1415_ERAM_7_CB_ES-04965	O	105	Coral bleaching is an event that takes place in a coral reef and when it separates it loses it color.
EBA1415_ERAM_7_CB_ES-04965	O	106	Another way of defining coral bleaching is, a phenomenon in which coral loses its color. 
EBA1415_ERAM_7_CB_ES-04965	R-4-50	107	Corals need the right amount of Carbon Dioxide, so that it won't lose its color and have energy. 
EBA1415_ERAM_7_CB_ES-04965	R-4-5B	108.1	If it has lower than normal carbon dioxide, corals will lose up yo 50% to 95% of its energy. Reef buildings corals need water temperatures between 70-85F because the process of photosynthesis is sensitive to changes in water temperatures. //
EBA1415_ERAM_7_CB_ES-04965	R-3-5	108.2	If it has lower than normal carbon dioxide, corals will lose up yo 50% to 95% of its energy. Reef buildings corals need water temperatures between 70-85F because the process of photosynthesis is sensitive to changes in water temperatures. //
EBA1415_RDCS_2_CB_ES-04716	O	109	The differences in the rates of Coral Bleaching are different all the time bevause certain things happen & many things change all the time.
EBA1415_RDCS_2_CB_ES-04716	O	110	For example One Reason they change is because there is high water temperatures so it brings it down or up depending no How it changes.
EBA1415_RDCS_2_CB_ES-04716	R-1-50	111	Also Another reason there is differences with coral Bleaching rates are because the trade wind strengths.
EBA1415_RDCS_2_CB_ES-04716	R-1-50	112	They either are high ot low & this shifts the coral bleaching from mild, to moderate, to severe & this is why the are many differences in the rates of coral reefs.	//
EBA1415_SWCT_6_CB_ES-04867	R-1-50	113	The leads the the differences in the rates of coral bleaching are the shifts in trade winds in places such as the Pacific Ocean and the photosynthesis process of coral depending on how much carbon dioxide in the water. /
EBA1415_SWCT_6_CB_ES-04867	O	114	According to the document "Background: What is "Coral Bleaching?", "Coral bleaching is most noticeable in the Pacific Ocean.
EBA1415_SWCT_6_CB_ES-04867	O	115	This ocean covers 1/3 of the surface of the entire globe, and contains double the amount of water found in the Atlantic Ocean."
EBA1415_SWCT_6_CB_ES-04867	O	116	Because of how trade winds of the Pacific change every few years according to the document "Shifting Trade Winds" and how the process of photosynthesis for coral is very sensitive to change according to the document "Coral and Photosynthesis," it can mean that oceans and other bodies of water such as the Pacific Ocean can be hazardous for coral. //
EBA1415_TWJB_5_CB_ES-05070	O	117	Coral is tiny animals called polyps.
EBA1415_TWJB_5_CB_ES-05070	O	118	A healthy coral is normaly the color coral.
EBA1415_TWJB_5_CB_ES-05070	O	119	When people change the environment, it puts stress on corals.
EBA1415_TWJB_5_CB_ES-05070	R-6-7	120.1	When the coral gets stressed they eject their algae, which  causes it to turn white.
EBA1415_TWJB_5_CB_ES-05070	R-7-50	120.2	When the coral gets stressed they eject their algae, which  causes it to turn white.
EBA1415_TWJB_5_CB_ES-05070	R-1-3	121.1	Also when the trade winds go down, and the water temperatures go up, it causes the coral to eject algae.
EBA1415_TWJB_5_CB_ES-05070	R-3-7	121.2	Also when the trade winds go down, and the water temperatures go up, it causes the coral to eject algae.
EBA1415_TWJB_5_CB_ES-05070	R-7-50	121.3	Also when the trade winds go down, and the water temperatures go up, it causes the coral to eject algae.
EBA1415_TWJB_5_CB_ES-05070	R-7-50	122	Which makes the coral white.  //
EBA1415_TRWH_8_CB_ES-06065	O	123	Coral bleaching is a phenomenon in which coral loses it's color.
EBA1415_TRWH_8_CB_ES-06065	O	124	One of the things that causes coral bleaching is blast fishing and tourists who drop anchors or walk on reefs.
EBA1415_TRWH_8_CB_ES-06065	R-6-50	125	Another way coral bleaching occurs is by changes in their environment that put stress on the coral.
EBA1415_TRWH_8_CB_ES-06065	R-6-7	126	This happens because increased stress on corals from the environment forces the coral to eject their food-producing algae.//
EBA1415_BLRW_3_CB_ES-05168	O	127	The differences in the rates of coral bleaching is that first it started out not so major in 1980, but than it started increasing.
EBA1415_BLRW_3_CB_ES-05168	O	128	The highest rate was in 1998 it reached up to more than 70 countries making a report of coral bleaching.
EBA1415_BLRW_3_CB_ES-05168	O	129	So on it started decreasing from there.
EBA1415_BLRW_3_CB_ES-05168	O	130	Than again who knows how bad it is now 2014.
EBA1415_BLRW_3_CB_ES-05168	O	131	The coral bleaching reports only went from 1980-2006.
EBA1415_BLRW_3_CB_ES-05168	O	132	"Also did you know coral is often mistaken for a rock or even a plant.
EBA1415_BLRW_3_CB_ES-05168	O	133	However, it is actually made upof tiny animals called polyps..."
EBA1415_BLRW_3_CB_ES-05168	O	134	I did not know that, and here I am thinking its a plant.
EBA1415_BLRW_3_CB_ES-05168	O	135	They can only be found in clear, shallow, tropical waters.
EBA1415_BLRW_3_CB_ES-05168	O	136	This is partly because alagae, called zooxantheallae, live in the coral tissues. Ran out of time//
EBA1415_WSKT_1_CB_ES-05330	O	137	Enviormental change causes coral bleaching.
EBA1415_WSKT_1_CB_ES-05330	O	138	Enviormental stressors throws off the balanced relationship between the coral and zooxanthallae.
EBA1415_WSKT_1_CB_ES-05330	O	139	These two organism have a symbiotic relationship where both benefit (mutualism).
EBA1415_WSKT_1_CB_ES-05330	O	140	The coral helps the zoox by giving it a good enviorment to allow photosynthesis.
EBA1415_WSKT_1_CB_ES-05330	O	141	the zoox gives the coral it's energy to survive and it's color.
EBA1415_WSKT_1_CB_ES-05330	R-6-7	142	Stress from the enviorment on corals causes it to eject it's algae (zooxanthallae).
EBA1415_WSKT_1_CB_ES-05330	R-7-50	143	When corals eject from algae it turns white, this makes corals open to starvation and diseases due to the lost of zooxanthallae.
EBA1415_WSKT_1_CB_ES-05330	O	144	Coral bleaching happens mostly in the Pacific Ocean.
EBA1415_WSKT_1_CB_ES-05330	O	145	The winds of the Pacific trade travel east to west the wind drags warm water westward.
EBA1415_WSKT_1_CB_ES-05330	O	146	While the deeper, cooler water in the eastern part of the Pacific rises to the surface.
EBA1415_WSKT_1_CB_ES-05330	O	147	This is known as upwelling.
EBA1415_WSKT_1_CB_ES-05330	O	148	The movement of warm water travels eastward causing major changes in the world's climate the relationship between the coral and zooxanthallae.  //
EBA1415_TWNB_3_CB_ES-06186	O	149	What lead to the differences in the rates of coral bleaching?
EBA1415_TWNB_3_CB_ES-06186	O	150	Invertebrate animals live together in colonies and tend to stay in one place.
EBA1415_TWNB_3_CB_ES-06186	O	151	Some coral have been bleached a plain white.
EBA1415_TWNB_3_CB_ES-06186	O	152	Phenomenon in which coral loses its color.
EBA1415_TWNB_3_CB_ES-06186	O	153	Coral bleaching is most noticeable in the pacific ocean.
EBA1415_TWNB_3_CB_ES-06186	O	154	Coral is often mistaken for a rock or plant.
EBA1415_TWNB_3_CB_ES-06186	O	155	However it is really made up of tiny animals called polyps.
EBA1415_TWNB_3_CB_ES-06186	O	156	A coral polyps has a saclike body and a mouth surroudned by stingign tentacles.
EBA1415_TWNB_3_CB_ES-06186	O	157	Coral polyps range in size form tiny (the size of a pinhead up to a foot in diameter.
EBA1415_TWNB_3_CB_ES-06186	O	158	Coral and zooxanthellae algae havea a symbiotic relationship.
EBA1415_TWNB_3_CB_ES-06186	O	159	This mean that they both benefit from their relationship with each other.
EBA1415_TWNB_3_CB_ES-06186	O	160	The algae rely on the coral to stay healthy but coral can sustain physical damage from some destructive practices.
EBA1415_TWNB_3_CB_ES-06186	R-14-50	161.1	Coral bleaching is one example of how environmental stressors can negatively affect the balanced relationship between the coral and zooxanthellae.//
EBA1415_TWNB_3_CB_ES-06186	R-6-14	161.2	Coral bleaching is one example of how environmental stressors can negatively affect the balanced relationship between the coral and zooxanthellae.//
EBA1415_LRBL_3_CB_ES-05159	O	162	There are many things that lead to differences in the rates of coral bleaching.
EBA1415_LRBL_3_CB_ES-05159	O	163	One of them is how things change and threatens the corals health.
EBA1415_LRBL_3_CB_ES-05159	R-3-4	164	For example; in the article coral & photosynthesis it says, "As water temperature increases, the amount of carbon dioxide (CO2) in water decreases.
EBA1415_LRBL_3_CB_ES-05159	R-4-14	165	Changes in the amount of Co2 threaten the delicate balance required to keep corals healthy."
EBA1415_LRBL_3_CB_ES-05159	O	166	Meaning that they need a specific amount, and if it changes, the corals won't be healthy.
EBA1415_LRBL_3_CB_ES-05159	O	167	What is coral bleaching?
EBA1415_LRBL_3_CB_ES-05159	O	168	Coral bleaching is a phenomenon in which coral loses its color.
EBA1415_LRBL_3_CB_ES-05159	O	169	(Background: What is Coral Bleaching?)
EBA1415_LRBL_3_CB_ES-05159	O	170	Coral bleaching can lead to serious impact on the world's coral reefs.
EBA1415_LRBL_3_CB_ES-05159	O	171	The # of countries reporting coral coral bleaching every year goes up down, up down, up down throughout the years.
EBA1415_LRBL_3_CB_ES-05159	O	172	Not until 1998 were about 73 or 74 countries reported coral bleaching.
EBA1415_LRBL_3_CB_ES-05159	O	173	On the article coral and zooxanthallae it says, "For example, a massive coral bleaching event in 1998 is considered one of the worst ever observed.
EBA1415_LRBL_3_CB_ES-05159	O	174	This event resulted in the death of 16% of the worlds coral reefs."
EBA1415_LRBL_3_CB_ES-05159	O	175	Meaning that all of the years before they had trouble but not as bad as the one in that year./
EBA1415_LRBL_3_CB_ES-05159	O	176	In conclusion, there are many things that leads to differences in the rates of coral bleaching most of it is the environmental change, which can cause stress to corals.//
EBA1415_SEAL_78_CB-04805	O	177	Coral bleaching is a process of dependence.
EBA1415_SEAL_78_CB-04805	R-7-5B	178	The corals need an algae called zooxanthallae that lives inside of them to be there.
EBA1415_SEAL_78_CB-04805	R-7-5B	179	They give the coral the food that they make from the sun's energy, and the zooxanthallae is also the reason for their colorful substance.
EBA1415_SEAL_78_CB-04805	O	180	The zooxanthallae isnt just in the coral for the heck of it, either.
EBA1415_SEAL_78_CB-04805	O	181	The zooxanthallae is there because there are not enough nutrients for it to survive.
EBA1415_SEAL_78_CB-04805	O	182	They need eachother to produce a life.
EBA1415_SEAL_78_CB-04805	O	183	Usually, the coral and zooxanthallae lives in shallow waters so its easy to gain the nutrients they both need through photosynthesis.
EBA1415_SEAL_78_CB-04805	R-4-5B	184	The zooxanthallae passes carbon dioxide to the coral, giving it sugar.
EBA1415_SEAL_78_CB-04805	R-7-50	185	Now, if the water level changes, the zooxanthallae dies.
EBA1415_SEAL_78_CB-04805	R-7-50	186	This is what happened and is happening that is the reason why so much coral bleaching is happening.
EBA1415_SEAL_78_CB-04805	R-3-50	187.1	In 1998, when there were higher water temperatures and weaker trade winds, a massive frenzy of coral bleaching occured.
EBA1415_SEAL_78_CB-04805	R-1-50	187.2	In 1998, when there were higher water temperatures and weaker trade winds, a massive frenzy of coral bleaching occured.
EBA1415_SEAL_78_CB-04805	O	188	This is because the water level rose, making the zooxanthallae too far down in the water.
EBA1415_SEAL_78_CB-04805	O	189	The sunlight wouldn't get it, so it wouldn't produce the sugars for itself or the corals.
EBA1415_SEAL_78_CB-04805	R-7-14	190.1	When the zooxanthallaw died, or left to a place with what it needed, the coral lost its life source.
EBA1415_SEAL_78_CB-04805	R-14-50	190.2	When the zooxanthallaw died, or left to a place with what it needed, the coral lost its life source.
EBA1415_SEAL_78_CB-04805	R-14-50	191	This is causing the corals colors to go away. //
EBA1415_SEKL_2_CB-06037	O	192	There are many different ways that coral bleaching can happen.
EBA1415_SEKL_2_CB-06037	O	193	Coral bleaching is when the coral loses it's color.
EBA1415_SEKL_2_CB-06037	O	194	Coral is made up of little animals called polyps.
EBA1415_SEKL_2_CB-06037	O	195	Polyps use limestone from the water to build a hard skeleton around it's self.
EBA1415_SEKL_2_CB-06037	R-14-50	196	When corals become unhealthy they start to lose their color. /
EBA1415_SEKL_2_CB-06037	R-1-50	197	To begin, trade winds can create coral bleaching.
EBA1415_SEKL_2_CB-06037	O	198	Every few years trade winds weaken.
EBA1415_SEKL_2_CB-06037	R-1-2	199	"The trade winds weaken or reverse direction completely to blow from west to east.
EBA1415_SEKL_2_CB-06037	R-1-2	200	Under these circumstances, warm surface waters are dragged eastward  towards south America." (Shifting trade winds)
EBA1415_SEKL_2_CB-06037	O	201	This quote shows that when this happens it causes the central and eastern pacific to swell, and the sea levels rise from inches to as much as a foot which can increase the temperature.
EBA1415_SEKL_2_CB-06037	R-3-50	202.1	In trade winds and coral bleaching, it shows that when there are weaker trade winds and high water temperature the coral bleaching reports go up. /
EBA1415_SEKL_2_CB-06037	R-1-50	202.2	In trade winds and coral bleaching, it shows that when there are weaker trade winds and high water temperature the coral bleaching reports go up. /
EBA1415_SEKL_2_CB-06037	O	203	Coral bleaching can also happen when there are changes in their environment.
EBA1415_SEKL_2_CB-06037	O	204	In the article "coral and zooxanthallae" the text says, "However, the most dangerous to the health of corals are those that are caused by changes in their environment that put stress on coral." //
EBA1415_TTKP_78_CB_ES-06171	R-7-50	205	Different leads in Rates of coral bleaching are zooxanthellae.
EBA1415_TTKP_78_CB_ES-06171	O	206	Coral polyp has a saclike body and a mouth surrounded by stinging tentacles.
EBA1415_TTKP_78_CB_ES-06171	O	207	Coral reefs are only found in clear shallow, Tropical waters.
EBA1415_TTKP_78_CB_ES-06171	O	208	Coral bleaching is a phenomenon in which coral loses it's color.
EBA1415_TTKP_78_CB_ES-06171	O	209	The result of bleaching event that makes corals vulnerable to disease and starvation.
EBA1415_TTKP_78_CB_ES-06171	O	210	While some dying reefs recover from such events, many do not- so to me this means//
EBA1415_TTFW_1_CB_ES-04902	R-3-50	211.1	The difference of the rates of coral bleaching is the water temperature and the trade wind strength.
EBA1415_TTFW_1_CB_ES-04902	R-1-50	211.2	The difference of the rates of coral bleaching is the water temperature and the trade wind strength.
EBA1415_TTFW_1_CB_ES-04902	O	212	These can have a big effect on coral.
EBA1415_TTFW_1_CB_ES-04902	R-3-4	213.1	The reason for that is when water temperature changes the Carbon Dioxide in the water decreases.
EBA1415_TTFW_1_CB_ES-04902	R-4-50	213.2	The reason for that is when water temperature changes the Carbon Dioxide in the water decreases.
EBA1415_TTFW_1_CB_ES-04902	R-4-50	214	So if this happen it can be unhealthy to the coral than bleaching can occur so that's why sometimes the bleaching rate is up maybe of the water temperature.  //
EBA1415_SWCT_6_CB_ES-04872	O	215	The corals that are most affected by coral bleaching are located in the Pacific Ocean.
EBA1415_SWCT_6_CB_ES-04872	R-1-50	216	Since the trade winds blow there as well, it has led me to believe that the trade winds as well as humans, affect the differences in coral bleaching. /
EBA1415_SWCT_6_CB_ES-04872	O	217	The differences in coral bleaching change because, partly, by humans.
EBA1415_SWCT_6_CB_ES-04872	O	218	When we drop anchors in the sea it could potentially land on a coral and it would kill it.
EBA1415_SWCT_6_CB_ES-04872	O	219	This could explain why there is a small amount of coral bleachings from 1988 to 1997.  /
EBA1415_SWCT_6_CB_ES-04872	R-1-50	220	Another thing that differs the differences in coral bleaching is the trade winds themselves.
EBA1415_SWCT_6_CB_ES-04872	R-1-3	221	It is stated in one of the articles that the trade winds switch direction every few years.
EBA1415_SWCT_6_CB_ES-04872	R-1-3	222.1	This causes the temperature to rise, making the carbon dioxide in water decrease.
EBA1415_SWCT_6_CB_ES-04872	R-3-4	222.2	This causes the temperature to rise, making the carbon dioxide in water decrease.
EBA1415_SWCT_6_CB_ES-04872	O	223	This then carbon dioxide in water decrease.
EBA1415_SWCT_6_CB_ES-04872	O	224	This then leads to the coral's health.
EBA1415_SWCT_6_CB_ES-04872	R-4-14	225	When the amount of CO2 changes the health of the coral is put in danger. //
EBA1415_TTCM_2_CB_ES-06142	O	226	Biologists have discovered many different types of corals.
EBA1415_TTCM_2_CB_ES-06142	O	227	Coral bleaching is a serious problem with a serious impact on the world's coral reefs.
EBA1415_TTCM_2_CB_ES-06142	O	228	Corals are made up of tiny animals called polyps.
EBA1415_TTCM_2_CB_ES-06142	R-3-5	229	Corals need water between 75o-80of because their photosynthesis process is sensitive.
